launch_date,vehicle,mission_name,orbit,outcome,source,launch_site,lat,lon,label
,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-01-29 01:10:00,F9 B5 B1062‑18,Starlink: Group 6-38 (23 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 15th time.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-01-29 05:57:00,F9 B5 B1075‑9,Starlink: Group 7-12 (22 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This landing marked the fastest turnaround of a droneship at just over 5 days. The launch also marked the fastest turnaround time of SLC-4E at 5 days, 5 hours, 22 minutes, and 20 seconds, beating previous record of 6.5 days.",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-01-30 17:07:00,F9 B5 B1077‑10,"CRS NG-20 (S.S. Patricia ""Patty"" Hilliard Robertson)",LEO (ISS),Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.","First Cygnus flight on Falcon 9. Northrop Grumman acquired four flights from SpaceX while a replacement rocket stage is developed for its Antares rocket.[42] Eighth flight with short nozzle second stage, which has lower production cost and faster build time but is only suitable for missions with lower performance requirements. SpaceX modified the fairing to add a hatch for late cargo loads onto the spacecraft via mobile cleanroom.[43] Unmanned Enhanced Cygnus cargo spacecraft named in honor of Patricia “Patty” Hilliard Robertson.",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-02-08 06:33:00,F9 B5 B1081‑4,PACE,SSO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]","This was a mission to launch the Plankton, Aerosol, Cloud, ocean Ecosystem (PACE) spacecraft, a 1.7 tonnes (3,700 lb), US$800 million craft, that orbits at a 676 km (420 mi) altitude. It has the Ocean Color Imager intended to study phytoplankton in the ocean, as well as two polarimeters for studying properties of clouds, aerosols and the ocean. The launch price was US$80.4 million.[45]",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-02-10 00:34:00,F9 B5 B1071‑14,Starlink: Group 7-13 (22 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-02-14 22:30:00,F9 B5 B1078‑7,USSF-124 (6 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,Launch included two HBTSS and four SDA Tranche 0 Tracking Layer satellites. Launch part of Phase 2 US Space Force contract awarded in 2022.[48] Second time a second stage featured Falcon medium coast mission-extension kit. 1st time flying a fairing half for the 15th time.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-02-15 06:05:00,F9 B5 B1060‑18,IM-1 Nova-C Odysseus lander,TLI,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Second mission under NASA's Commercial Lunar Payload Services (CLPS) program and the first successful lunar landing by a private American company. The lander delivered five payloads with a combined mass of up to 100 kg (LRA, NDL, LN-1, SCALPSS, and ROLSES), along with a deployable imaging system, EagleCam, designed to capture descent and surface operations. The spacecraft transmitted data from the lunar surface for approximately two weeks.[50][51][52] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[53]","Second mission under NASA's Commercial Lunar Payload Services (CLPS) program and the first successful lunar landing by a private American company. The lander delivered five payloads with a combined mass of up to 100 kg (LRA, NDL, LN-1, SCALPSS, and ROLSES), along with a deployable imaging system, EagleCam, designed to capture descent and surface operations. The spacecraft transmitted data from the lunar surface for approximately two weeks.[50][51][52] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[53]","Second mission under NASA's Commercial Lunar Payload Services (CLPS) program and the first successful lunar landing by a private American company. The lander delivered five payloads with a combined mass of up to 100 kg (LRA, NDL, LN-1, SCALPSS, and ROLSES), along with a deployable imaging system, EagleCam, designed to capture descent and surface operations. The spacecraft transmitted data from the lunar surface for approximately two weeks.[50][51][52] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[53]","Second mission under NASA's Commercial Lunar Payload Services (CLPS) program and the first successful lunar landing by a private American company. The lander delivered five payloads with a combined mass of up to 100 kg (LRA, NDL, LN-1, SCALPSS, and ROLSES), along with a deployable imaging system, EagleCam, designed to capture descent and surface operations. The spacecraft transmitted data from the lunar surface for approximately two weeks.[50][51][52] The LC-39A pad's transporter erector was modified to fuel cryogenic liquid oxygen and liquid methane into the payload before liftoff.[53]",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-02-15 21:34:00,F9 B5 B1082‑2,Starlink: Group 7-14 (22 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[55]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[55]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[55]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the 300th Falcon 9 launch, the 200th consecutive successful landing of a booster, and the first time SpaceX launched three rockets within 24 hours. SpaceX removed the stiffener ring around the nozzle of Merlin Vacuum Engine on Starlink missions starting with this launch.[55]",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-02-20 20:11:00,F9 B5 B1067‑17,Telkomsat HTS 113BT,GTO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,Indonesian satellite to provide more capacity over Indonesia.[57] 300th successful Falcon 9 mission.,Indonesian satellite to provide more capacity over Indonesia.[57] 300th successful Falcon 9 mission.,Indonesian satellite to provide more capacity over Indonesia.[57] 300th successful Falcon 9 mission.,Indonesian satellite to provide more capacity over Indonesia.[57] 300th successful Falcon 9 mission.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-02-23 04:11:00,F9 B5 B1061‑19,Starlink: Group 7-15 (22 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[59]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[59]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[59]","Launch of 22 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. This mission marked the second time a booster was flown for the 19th time and featured a Merlin engine that was being used on its 22nd mission beating its own record, having already surpassed Space Shuttle Main Engine no. 2019's record of 19 flights.[59]",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-02-25 22:06:00,F9 B5 B1069‑13,Starlink: Group 6-39 (24 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[61]","Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[61]","Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[61]","Launch of 24 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. New mass record on Falcon 9 taking 17,500 kg (38,600 lb) to low Earth orbit.[61]",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-02-29 15:30:00,F9 B5 B1076‑11,Starlink: Group 6-40 (23 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-03-04 03:53:00,F9 B5 B1083‑1,Crew-8 (Crew Dragon C206-5 Endeavour),LEO (ISS),Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"After first six Crew Dragon launches of NASA USCV award, a further three missions for SpaceX were announced on December 3, 2021. These launches carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency. SpaceX flew its 50th astronaut on this Crew Dragon launch.[64]","After first six Crew Dragon launches of NASA USCV award, a further three missions for SpaceX were announced on December 3, 2021. These launches carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency. SpaceX flew its 50th astronaut on this Crew Dragon launch.[64]","After first six Crew Dragon launches of NASA USCV award, a further three missions for SpaceX were announced on December 3, 2021. These launches carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency. SpaceX flew its 50th astronaut on this Crew Dragon launch.[64]","After first six Crew Dragon launches of NASA USCV award, a further three missions for SpaceX were announced on December 3, 2021. These launches carry up to four astronauts and 100 kg (220 lb) of cargo to the ISS as well as feature a lifeboat function to evacuate astronauts from ISS in case of an emergency. SpaceX flew its 50th astronaut on this Crew Dragon launch.[64]",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-03-04 22:05:00,F9 B5 B1081‑5,Transporter-10 (53 payload smallsat rideshare),SSO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[66][67] Third time a second stage featured Falcon medium coast mission-extension kit.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[66][67] Third time a second stage featured Falcon medium coast mission-extension kit.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[66][67] Third time a second stage featured Falcon medium coast mission-extension kit.","Dedicated SmallSat Rideshare mission to sun-synchronous orbit including the 1,000th satellite of SpaceX rideshare program.[66][67] Third time a second stage featured Falcon medium coast mission-extension kit.",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-03-04 23:56:00,F9 B5 B1073‑13,Starlink: Group 6-41 (23 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,"Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[69] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[69] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[69] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.","Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. SpaceX set a new record for the shortest time between two Falcon launches at 1 hour and 51 minutes. The previous record time was 2 hours and 54 minutes, set between the USSF-52 (Boeing X-37B OTV-7) and Starlink Group 6–36 missions on December 29, 2023. Thus for the first time, SpaceX launch operations for a mission coincided with that of a preceding launch (in this case, payload deployment of Transporter-10:(53 payloads SmallSat Rideshare).[69] It was a new record for the shortest time between three Falcon launches at 20 hours and 3 minutes. The previous record time was 23 hours and 4 minutes, set between flights 298 and 300 on February 14/15, 2024.",SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-03-10 23:05:00,F9 B5 B1077‑11,Starlink: Group 6-43 (23 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-03-11 04:09:00,F9 B5 B1063‑17,Starlink: Group 7-17 (23 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,Launch of 23 Starlink v2 mini satellites to a 525 km (326 mi) orbit at an inclination of 53° to expand internet constellation. First time 23 Starlink v2 mini satellites are launched on a flight from Vandenberg.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-03-16 00:21:00,F9 B5 B1062‑19,Starlink: Group 6-44 (23 satellites),LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,Launch of 23 Starlink v2 mini satellites to a 530 km (330 mi) orbit at an inclination of 43° to expand internet constellation. 1st time flying a fairing half for the 16th time.,SpaceX,Cape Canaveral,28.5721,-80.648,1
2024-03-19 02:28:00,F9 B5 B1075‑10,Starlink: Group 7-16 (20 satellites) + 2 Starshield satellites,LEO,Success,SpaceX,Cape Canaveral,28.5721,-80.648,1
